Level1,Level2,Level3,Level4,Level5,Address,GID_0,GID_0_NAME,GID_1,GID_1_NAME,NumberOfPollingStations,QuickReportsSubmitted,FormSubmitted,PSISubmitted,NumberOfQuestionsAnswered,NumberOfFlaggedAnswers,ObserversWithForms,ObserversWithQuickReports,ObserversWithPSI,TotalObservers
Republica Moldova,Anenii Noi,Cobusca Nouă,,,"Sediul primăriei s.Cobusca Nouă,(sala de ședințe a primăriei) str.Ştefan cel Mare,42",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Cobusca Veche,,,Căminul cultural,MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Creţoaia,,,"Şcoala primară s.Crețoaia, str.Şcolii nr.7",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Delacău,,,"IP Gimnaziul-Grădiniță ""Luceafărul"" din s.Delacău",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Floreni,,,"Gimnaziu str. Ştefan cel Mare, 103 A",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Floreni,,,"Grădiniţa ""Poiana Picilor"" str.Chişinăului nr.6,",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Geamăna,,,Centrul Cultural Multifuncțional-sala de festivități Str.Ștefan cel Mare și Sfînt,MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Gura Bîcului,,,IP Gimnaziul Gura Bîcului,MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Hîrbovăţ,,,"IP Liceul Teoretic ""Ion Creangă""",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Hîrbovăţ,,,Şcoala primară Hîtbovăț str.Păcii,MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Hîrbovăţul Nou,,,OMF Hîrbovățul Nou,MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Larga,,,"Şcoala primară Larga, str.Centrală 67",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Maximovca,,,"Sediul primăriei, str. Renaşterii nr.2",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Mereni,,,Casa de Cultură din s.Mereni str.Ştefan cel Mare nr.96,MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Mereni,,,"Liceul teoretic ""Emil Nicula"", str.Ştefan cel Mare nr.104",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Merenii Noi,,,IP Gimnaziul-Grădiniță Merenii Noi str. Şcolii nr.2,MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Ochiul Roş,,,"Clădirea fostului Gimnaziu, str.Molodiojnaia",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Puhăceni,,,"Sediul Complexului Sportiv, str.Centrală nr.25",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Roşcani,,,"Sediul primăriei s.Roșcani, str.Ştefan cel Mare nr.15",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Ruseni,,,Căminul cultural Ruseni,MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Şerpeni,,,IP Gimnaziul Șerpeni str.Ştefan cel Mare nr.117,MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Socoleni,,,"OMF s.Socoleni Sediul AO""Omul sfințește locul""",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Speia,,,IP Gimnaziul Speia Str.Ștefan cel Mare și Sfînt nr.16,MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Teliţa,,,"Casa de Cultură Telița, Str-la.M.Eminescu nr.1",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Ţînţăreni,,,"IPGimnaziul ""Ion Creangă"" s.Țînțăreni r-l Anenii Noi",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Todireşti,,,"IP Gimnaziul Todirești str. Ştefan cel Mare nr. 65,",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Troiţa Nouă,,,Centrul de cultură din s.Troița Nouă,MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Varniţa,,,"Centrul de Cultură şi Tineret, str.Tighina nr.60",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Varniţa,,,"Centrul Multifuncţional ""Asclepio"" str.Tighina nr.60",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Anenii Noi,Zolotievca,,,"Casa de Cultură Zolotievca str.Benderscaia nr.15,",MDA,Republica Moldova,MDA.1_1,Anenii Noi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Cantina SA ""Cet - Nord"" str. Ştefan cel Mare şi Sfînt, 168",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Casa Ofiţerilor str. Ştefan cel Mare şi Sfînt, 108",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Centrul de creație a Copiilor ""M. Blanc"", str. A. Hâjdeu, 6",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Clădirea administrativă filiala S.A. ""Red-Nord"", str.M.Viteazul, 16",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Clădirea administrativă S.A. ""Barza Albă"", str. Victoriei, 49",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Colegiul Politehnic, str.I.Franco,11",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Direcția de arhivă, str. Decebal, 99 A",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Gara Feroviară Bălți-Slobozia, str. Feroviarilor, 18 A",MDA,Republica Moldova,MDA.2_1,Bălţi,3,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Gimnaziul ""A.I.Cuza"", str. Cahul, 46",MDA,Republica Moldova,MDA.2_1,Bălţi,2,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Gimnaziul nr.10, str. Acad. L. Dubinovschi,19",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Gimnaziul nr.14, str.I.Konev, 9",MDA,Republica Moldova,MDA.2_1,Bălţi,2,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Gimnaziul nr.2 str.M. Sadoveanu, 54",MDA,Republica Moldova,MDA.2_1,Bălţi,3,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Gimnaziul nr.3, str. Soroca, 21",MDA,Republica Moldova,MDA.2_1,Bălţi,2,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Gimnaziul nr. 7 (cantina), str. E.Colesov, 15",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Gimnaziul nr. 7, str. E.Colesov, 15",MDA,Republica Moldova,MDA.2_1,Bălţi,2,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Gimnaziul nr. 9, str. N.Kopernik, 23/A",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"ICŞ ""Selecţia"", str. Calea Ieşilor, 28",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"ÎM ""GLC"", str. I.Franco, 19",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Instituţia Publică Centrul Social ""Viaţa cu Speranţă"", str. Victoriei, 7/A",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"IP Casa de Cultură Polivalentă, str. Decebal, 13A",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Liceul Teoretic ""A.Puşkin"", str.Bulgară, 122",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Liceul Teoretic ""D. Cantemir"", Str. Sfântul Nicolae, 98/A",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Liceul Teoretic ""G.Coşbuc"" bd. Larisa, 3",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Liceul Teoretic ""G.Coşbuc"", bd. Larisa, 3",MDA,Republica Moldova,MDA.2_1,Bălţi,2,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Liceul Teoretic ""L.Blaga"" str. A.Puşkin, 69",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Liceul Teoretic ""L.Blaga"", str. A.Puşkin, 69",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Liceul Teoretic""M.Eminescu"", str. Ştefan cel Mare şi Sfânt,81",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Liceul Teoretic ""M.Gorki"" bd. Eminescu, 4",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Liceul Teoretic ""M.Gorki"", bd. Eminescu, 4",MDA,Republica Moldova,MDA.2_1,Bălţi,2,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Liceul Teoretic ""M. Lomonosov"", bd. Larisa,5",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Liceul Teoretic ""M.Lomonosov"", bd. Larisa,5",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Liceul Teoretic ""N. Gogol"", str. Acad.N.Filip, 2",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Liceul Teoretic ""Orizont"" (clădirea gimnaziului nr.4), str. Chişinău, 28",MDA,Republica Moldova,MDA.2_1,Bălţi,3,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Liceul Teoretic ""Ştefan cel Mare"", str. N.Ostrovski, 17",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Liceul Teoretic ""V.Alecsandri"", str.I.Konev, 16 /A",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Liceul Teoretic ""V.Maiakovski"", str. T.Vladimirescu, 32/B",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Palatul Municipal de Cultură, str. F. Dostoievski, 24",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Palatul Municipal de Cultură, str.F.Dostoievski, 24",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Şcoala Profesională nr.1, str.I.Franco, 9",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Şcoala Profesională nr. 3 (cămin), str. Victoriei, 62/A",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Şcoala Profesională nr. 3, str. Victoriei, 62/A",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Şcoala Profesională nr.4, str. I. Franco, 7",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Secția a IP Casa de Cultură Polivalentă, str. Calea Ieşilor, 156",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Sucursala RETÎ ""NORD"", str. Ștefan cel Mare, 180",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,mun. Bălţi,,,"Universitatea de Stat ""A.Russo"", str. Puşkin, 38",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,Mun. Bălţi,,,"Gimnaziul nr.10, str. Acad. L. Dubinovschi,19",MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,s.Elizaveta,,,Gimnaziul nr. 19,MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Bălţi,s. Sadovoe,,,Casa de Cultură,MDA,Republica Moldova,MDA.2_1,Bălţi,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Basarabeasca,Abaclia,,,"Casa de cultură, str. Independenței nr.110",MDA,Republica Moldova,MDA.3_1,Basarabeasca,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Basarabeasca,Abaclia,,,"Edificiul de pe str. Doina, nr.2 (clădirea fostului gimnaziu)",MDA,Republica Moldova,MDA.3_1,Basarabeasca,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Basarabeasca,Basarabeasca,,,"Casa de cultură, str. K. Marx, 84",MDA,Republica Moldova,MDA.3_1,Basarabeasca,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Basarabeasca,Basarabeasca,,,"Gimnaziul ""Ivan Bondarev"", str. Vokzalinaia, 116",MDA,Republica Moldova,MDA.3_1,Basarabeasca,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Basarabeasca,Basarabeasca,,,"Liceul Teoretic ""A. Pușkin, str. Naberejnaia, 3",MDA,Republica Moldova,MDA.3_1,Basarabeasca,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Basarabeasca,Basarabeasca,,,"Liceul Teoretic ""N. Gogol"", str. N. Gogol, 8",MDA,Republica Moldova,MDA.3_1,Basarabeasca,1,0,1,1,19,0,1,0,1,2
Republica Moldova,Basarabeasca,Basarabeasca,,,"Școala Tehnică Feroviară Basarabeasca, str. Depovskaia, 4",MDA,Republica Moldova,MDA.3_1,Basarabeasca,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Basarabeasca,Basarabeasca,,,"SRC Policlinica, str. Trudovaia, 55",MDA,Republica Moldova,MDA.3_1,Basarabeasca,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Basarabeasca,Başcalia,,,"Casa de cultură, str. Ștefan cel Mare",MDA,Republica Moldova,MDA.3_1,Basarabeasca,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Basarabeasca,Carabetovca,,,"Căminul cultural, str. Ștefan cel Mare",MDA,Republica Moldova,MDA.3_1,Basarabeasca,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Basarabeasca,Iordanovca,,,"Clădirea fostului Gimnaziu Iordanovca, str. Tinereții, 50",MDA,Republica Moldova,MDA.3_1,Basarabeasca,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Basarabeasca,Iserlia,,,"Casa de cultură din s. Iserlia, str. Păcii, 71",MDA,Republica Moldova,MDA.3_1,Basarabeasca,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Basarabeasca,Iserlia,,,"Casa de cultură din s. Ivanovca, str. S. Lazo, 9",MDA,Republica Moldova,MDA.3_1,Basarabeasca,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Basarabeasca,Sadaclia,,,"Casa de cultură, foaie, str. 31 august",MDA,Republica Moldova,MDA.3_1,Basarabeasca,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Basarabeasca,Sadaclia,,,"Casa de cultură, sala de dansuri, str. 31 august",MDA,Republica Moldova,MDA.3_1,Basarabeasca,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Balasinești,,,"satul Balasinești, Casa de Cultură str. Ștefan cel Mare și Sfânt, 50",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Bălcăuți,,,"satul Bălcăuți, Căminul Cultural",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Beleavinți,,,"satul Beleavinți, Casa de cultură",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Berlinți,,,"satul Berlinți, Casa de cultură",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Bezeda,,,"satul Bezeda, Biblioteca sătească",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Bogdănești,,,"satul Bogdănești, Casa de cultură",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Briceni,,,orașul Briceni Liceul Teoretic Grigore Vieru,MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Briceni,,,"Orașul Briceni Str. Independenței, 30 Casa de Cultură",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Briceni,,,orașul Briceni str. Uzinelor 8 (clădirea fostului Liceu Teoretic nr.3),MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Bulboaca,,,"satul Bulboaca, Casa de cultură",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Caracușenii Noi,,,"satul Caracușenii Noi, Grădinița de copii",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Caracușenii Vechi,,,"satul Caracușenii Vechi, Casa de Cultură",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Caracușenii Vechi,,,"satul Caracușenii Vechi, Liceul Teoretic ""Constantin Stamati Curea""",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Colicăuți,,,"satul Colicăuți, Casa de cultură",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Corjeuți,,,"satul Corjeuți str. M. Răducan, 85, Liceul Teoretic Corjeuți",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Corjeuți,,,"satul Corjeuți str. Ștefan cel Mare, 67 Casa de cultură",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Coteala,,,"satul Coteala, Casa de cultură",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Cotiujeni,,,"satul Cotiujeni, Căminul Cultural",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Criva,,,"satul Criva, Casa de cultură",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Drepcăuți,,,"satul Drepcăuți, Casa de cultură",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Grimăncăuți,,,"satul Grimăncăuți, Casa de cultură",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Grimăncăuți,,,"satul Grimăncăuți, Liceul Teoretic Grimăncăuți",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Groznița,,,"satul Groznița, Casa de Cultură",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Halahora de Jos,,,"satul Halahora de Jos, Casa de Cultură",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Halahora de Sus,,,"satul Halahora de Sus, Casa de Cultură",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Hlina,,,"satul Hlina, Gimnaziul Hlina",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Larga,,,"satul Larga, Căminul Cultural ""Anatol Dumitraș""",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Larga,,,"satul Larga, Gimnaziul Larga",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Lipcani,,,"Orașul Lipcani Str. Iu. Gagarin,6 Primăria orașului Lipcani",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Lipcani,,,"Orașul Lipcani, Str. Libertății, 34 Casa de Cultură Lipcani",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Mărcăuți,,,"satul Mărcăuți, Casa de Cultură",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
Republica Moldova,Briceni,Medveja,,,"satul Medveja, Căminul Cultural",MDA,Republica Moldova,MDA.5_1,Briceni,1,0,0,0,0,0,0,0,0,0
